2020-10-14(수) 오전 1:00:26: reading: key = 12a0ab44-fe28-4fa9-b3bd-4b64f44960a6, value = 15
2020-10-14(수) 오전 1:00:26: reading: key = 40fbefc7-2e9d-4d25-a185-0cfd8574bac6, value = 1
2020-10-14(수) 오전 1:00:26: reading: key = 45bcc044-d885-43e2-8605-ee0ec6e96b59, value = 100
2020-10-14(수) 오전 1:00:26: reading: key = 465e1f50-b610-473a-ab58-00d1077dc418, value = 2
2020-10-14(수) 오전 1:00:26: reading: key = 4d2b0152-7d5c-498b-88e2-34345392a2c5, value = 15
2020-10-14(수) 오전 1:00:26: reading: key = 893dee8e-2bef-41e0-89c6-b55d0929964c, value = 5
2020-10-14(수) 오전 1:00:26: reading: key = 94d3a615-a899-4ac5-ae2b-e4d8f634367f, value = 1
2020-10-14(수) 오전 1:00:26: reading: key = bc5038f7-23e0-4960-96da-33abaf5935ec, value = 100
2020-10-14(수) 오전 1:00:26: reading: key = ea062031-0e34-4ff1-9b6d-eb1059334028, value = 100
2020-10-14(수) 오전 1:00:26: settings changed for: generatedCLK!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = 100, value = 2701
2020-10-14(수) 오전 1:00:26: reading: key = 99, value = 2700
2020-10-14(수) 오전 1:00:26: reading: key = 98, value = 2600
2020-10-14(수) 오전 1:00:26: reading: key = 95, value = 2300
2020-10-14(수) 오전 1:00:26: reading: key = 84, value = 2000
2020-10-14(수) 오전 1:00:26: reading: key = 73, value = 1800
2020-10-14(수) 오전 1:00:26: reading: key = 65, value = 1600
2020-10-14(수) 오전 1:00:26: reading: key = 58, value = 1400
2020-10-14(수) 오전 1:00:26: reading: key = 50, value = 1200
2020-10-14(수) 오전 1:00:26: reading: key = 43, value = 900
2020-10-14(수) 오전 1:00:26: reading: key = 32, value = 700
2020-10-14(수) 오전 1:00:26: reading: key = 24, value = 500
2020-10-14(수) 오전 1:00:26: settings changed for: generatedXTU!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = 24, value = 10
2020-10-14(수) 오전 1:00:26: reading: key = 32, value = 9.5
2020-10-14(수) 오전 1:00:26: reading: key = 43, value = 9
2020-10-14(수) 오전 1:00:26: reading: key = 50, value = 8.5
2020-10-14(수) 오전 1:00:26: reading: key = 58, value = 8
2020-10-14(수) 오전 1:00:26: reading: key = 65, value = 7.5
2020-10-14(수) 오전 1:00:26: reading: key = 73, value = 7
2020-10-14(수) 오전 1:00:26: reading: key = 84, value = 6.5
2020-10-14(수) 오전 1:00:26: reading: key = 95, value = 6
2020-10-14(수) 오전 1:00:26: reading: key = 98, value = 5.5
2020-10-14(수) 오전 1:00:26: reading: key = 99, value = 5
2020-10-14(수) 오전 1:00:26: reading: key = 100, value = 4.5
2020-10-14(수) 오전 1:00:26: settings changed for: throttle_median!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = throttle_median, value = 80
2020-10-14(수) 오전 1:00:26: settings changed for: newlist_median!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = newlist_median, value = 50
2020-10-14(수) 오전 1:00:26: settings changed for: gpuplan!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = gpuplan, value = 1
2020-10-14(수) 오전 1:00:29: checking XTU cmdlet
2020-10-14(수) 오전 1:00:30: XTU ok
2020-10-14(수) 오전 1:00:33: result = 4.5
2020-10-14(수) 오전 1:00:33: init PowerCFG settings
2020-10-14(수) 오전 1:00:38: start of newlist timer
2020-10-14(수) 오전 1:01:08: time to sync for newlist
2020-10-14(수) 오전 1:01:53: settings changed for: special_programs!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = explorer, value = 0
2020-10-14(수) 오전 1:01:53: reading: key = ConsoleApplication41, value = 6
2020-10-14(수) 오전 1:01:53: reading: key = notepad++, value = 6
2020-10-14(수) 오전 1:01:53: reading: key = Hwp, value = 6
2020-10-14(수) 오전 1:01:53: reading: key = cmd, value = 6
2020-10-14(수) 오전 1:01:53: reading: key = POWERPNT, value = 6
2020-10-14(수) 오전 1:01:53: reading: key = devenv, value = 6
2020-10-14(수) 오전 1:01:53: settings changed for: programs_running_cfg_cpu!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = 0, value = 100
2020-10-14(수) 오전 1:01:53: reading: key = 1, value = 99
2020-10-14(수) 오전 1:01:53: reading: key = 2, value = 98
2020-10-14(수) 오전 1:01:53: reading: key = 3, value = 95
2020-10-14(수) 오전 1:01:53: reading: key = 4, value = 84
2020-10-14(수) 오전 1:01:53: reading: key = 5, value = 73
2020-10-14(수) 오전 1:01:53: reading: key = 6, value = 65
2020-10-14(수) 오전 1:01:53: reading: key = 7, value = 58
2020-10-14(수) 오전 1:01:53: reading: key = 8, value = 50
2020-10-14(수) 오전 1:01:53: reading: key = 9, value = 43
2020-10-14(수) 오전 1:01:53: reading: key = 10, value = 32
2020-10-14(수) 오전 1:01:53: reading: key = 11, value = 24
2020-10-14(수) 오전 1:01:53: settings changed for: programs_running_cfg_xtu!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = 11, value = 10
2020-10-14(수) 오전 1:01:53: reading: key = 10, value = 9.5
2020-10-14(수) 오전 1:01:53: reading: key = 9, value = 9
2020-10-14(수) 오전 1:01:53: reading: key = 8, value = 8.5
2020-10-14(수) 오전 1:01:53: reading: key = 7, value = 8
2020-10-14(수) 오전 1:01:53: reading: key = 6, value = 7.5
2020-10-14(수) 오전 1:01:53: reading: key = 5, value = 7
2020-10-14(수) 오전 1:01:53: reading: key = 4, value = 6.5
2020-10-14(수) 오전 1:01:53: reading: key = 3, value = 6
2020-10-14(수) 오전 1:01:53: reading: key = 2, value = 5.5
2020-10-14(수) 오전 1:01:53: reading: key = 1, value = 5
2020-10-14(수) 오전 1:01:53: reading: key = 0, value = 4.5
2020-10-14(수) 오전 1:01:53: settings changed for: programs_running_cfg_nice!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = 0, value = Normal
2020-10-14(수) 오전 1:01:53: reading: key = 1, value = Normal
2020-10-14(수) 오전 1:01:53: reading: key = 2, value = Normal
2020-10-14(수) 오전 1:01:53: reading: key = 3, value = Normal
2020-10-14(수) 오전 1:01:53: reading: key = 4, value = Normal
2020-10-14(수) 오전 1:01:53: reading: key = 5, value = Normal
2020-10-14(수) 오전 1:01:53: reading: key = 6, value = Normal
2020-10-14(수) 오전 1:01:53: reading: key = 7, value = Normal
2020-10-14(수) 오전 1:01:53: settings changed for: loop_delay!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = loop_delay, value = 5
2020-10-14(수) 오전 1:01:53: settings changed for: boost_cycle_delay!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = boost_cycle_delay, value = 12
2020-10-14(수) 오전 1:01:53: settings changed for: newlist_cycle_delay!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = newlist_cycle_delay, value = 30
2020-10-14(수) 오전 1:01:53: settings changed for: ac_offset!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = ac_offset, value = 1
2020-10-14(수) 오전 1:01:53: settings changed for: processor_guid_tweak!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = 06cadf0e-64ed-448a-8927-ce7bf90eb35d, value = 30
2020-10-14(수) 오전 1:01:53: reading: key = 0cc5b647-c1df-4637-891a-dec35c318583, value = 100
2020-10-14(수) 오전 1:01:53: reading: key = 12a0ab44-fe28-4fa9-b3bd-4b64f44960a6, value = 15
2020-10-14(수) 오전 1:01:53: reading: key = 40fbefc7-2e9d-4d25-a185-0cfd8574bac6, value = 1
2020-10-14(수) 오전 1:01:53: reading: key = 45bcc044-d885-43e2-8605-ee0ec6e96b59, value = 100
2020-10-14(수) 오전 1:01:53: reading: key = 465e1f50-b610-473a-ab58-00d1077dc418, value = 2
2020-10-14(수) 오전 1:01:53: reading: key = 4d2b0152-7d5c-498b-88e2-34345392a2c5, value = 15
2020-10-14(수) 오전 1:01:53: reading: key = 893dee8e-2bef-41e0-89c6-b55d0929964c, value = 5
2020-10-14(수) 오전 1:01:53: reading: key = 94d3a615-a899-4ac5-ae2b-e4d8f634367f, value = 1
2020-10-14(수) 오전 1:01:53: reading: key = bc5038f7-23e0-4960-96da-33abaf5935ec, value = 100
2020-10-14(수) 오전 1:01:53: reading: key = ea062031-0e34-4ff1-9b6d-eb1059334028, value = 100
2020-10-14(수) 오전 1:01:53: settings changed for: generatedCLK!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = 100, value = 2701
2020-10-14(수) 오전 1:01:53: reading: key = 99, value = 2700
2020-10-14(수) 오전 1:01:53: reading: key = 98, value = 2600
2020-10-14(수) 오전 1:01:53: reading: key = 95, value = 2300
2020-10-14(수) 오전 1:01:53: reading: key = 84, value = 2000
2020-10-14(수) 오전 1:01:53: reading: key = 73, value = 1800
2020-10-14(수) 오전 1:01:53: reading: key = 65, value = 1600
2020-10-14(수) 오전 1:01:53: reading: key = 58, value = 1400
2020-10-14(수) 오전 1:01:53: reading: key = 50, value = 1200
2020-10-14(수) 오전 1:01:53: reading: key = 43, value = 900
2020-10-14(수) 오전 1:01:53: reading: key = 32, value = 700
2020-10-14(수) 오전 1:01:53: reading: key = 24, value = 500
2020-10-14(수) 오전 1:01:53: settings changed for: generatedXTU!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = 24, value = 10
2020-10-14(수) 오전 1:01:53: reading: key = 32, value = 9.5
2020-10-14(수) 오전 1:01:53: reading: key = 43, value = 9
2020-10-14(수) 오전 1:01:53: reading: key = 50, value = 8.5
2020-10-14(수) 오전 1:01:53: reading: key = 58, value = 8
2020-10-14(수) 오전 1:01:53: reading: key = 65, value = 7.5
2020-10-14(수) 오전 1:01:53: reading: key = 73, value = 7
2020-10-14(수) 오전 1:01:53: reading: key = 84, value = 6.5
2020-10-14(수) 오전 1:01:53: reading: key = 95, value = 6
2020-10-14(수) 오전 1:01:53: reading: key = 98, value = 5.5
2020-10-14(수) 오전 1:01:53: reading: key = 99, value = 5
2020-10-14(수) 오전 1:01:53: reading: key = 100, value = 4.5
2020-10-14(수) 오전 1:01:53: settings changed for: throttle_median!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = throttle_median, value = 80
2020-10-14(수) 오전 1:01:53: settings changed for: newlist_median!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = newlist_median, value = 50
2020-10-14(수) 오전 1:01:53: settings changed for: gpuplan!, reimporting...
2020-10-14(수) 오전 1:01:53: reading: key = gpuplan, value = 1
2020-10-14(수) 오전 1:01:55: checking XTU cmdlet
2020-10-14(수) 오전 1:01:57: XTU ok
2020-10-14(수) 오전 1:01:59: result = 4.5
2020-10-14(수) 오전 1:01:59: init PowerCFG settings
2020-10-14(수) 오전 1:02:03: start of newlist timer
2020-10-14(수) 오전 1:02:34: time to sync for newlist
2020-10-14(수) 오전 1:05:43: appending: key = mspaint, value = 5
2020-10-14(수) 오전 1:05:43: settings changed for: special_programs!, reimporting...
2020-10-14(수) 오전 1:05:43: reading: key = explorer, value = 0
2020-10-14(수) 오전 1:05:43: reading: key = ConsoleApplication41, value = 6
2020-10-14(수) 오전 1:05:43: reading: key = notepad++, value = 6
2020-10-14(수) 오전 1:05:43: reading: key = Hwp, value = 6
2020-10-14(수) 오전 1:05:43: reading: key = cmd, value = 6
2020-10-14(수) 오전 1:05:43: reading: key = POWERPNT, value = 6
2020-10-14(수) 오전 1:05:43: reading: key = devenv, value = 6
2020-10-14(수) 오전 1:05:43: reading: key = mspaint, value = 5
2020-10-14(수) 오전 1:06:31: setting niceness: mspaint to Normal
2020-10-14(수) 오전 1:06:32: setting power: mspaint to 73
2020-10-14(수) 오전 1:06:32: setting CLK: 73
2020-10-14(수) 오전 1:06:32: oh no, XTU value bad... you may want to restart your computer
2020-10-14(수) 오전 1:06:39: no throttle cycle load = 12 ,clk = 1800 ,throttledelay = 0
2020-10-14(수) 오전 1:08:52: settings changed for: special_programs!, reimporting...
2020-10-14(수) 오전 1:08:52: reading: key = explorer, value = 0
2020-10-14(수) 오전 1:08:52: reading: key = ConsoleApplication41, value = 6
2020-10-14(수) 오전 1:08:52: reading: key = notepad++, value = 6
2020-10-14(수) 오전 1:08:52: reading: key = Hwp, value = 6
2020-10-14(수) 오전 1:08:52: reading: key = cmd, value = 6
2020-10-14(수) 오전 1:08:52: reading: key = POWERPNT, value = 6
2020-10-14(수) 오전 1:08:52: reading: key = devenv, value = 6
2020-10-14(수) 오전 1:08:52: settings changed for: programs_running_cfg_cpu!, reimporting...
2020-10-14(수) 오전 1:08:52: reading: key = 0, value = 100
2020-10-14(수) 오전 1:08:52: reading: key = 1, value = 99
2020-10-14(수) 오전 1:08:52: reading: key = 2, value = 98
2020-10-14(수) 오전 1:08:52: reading: key = 3, value = 95
2020-10-14(수) 오전 1:08:52: reading: key = 4, value = 84
2020-10-14(수) 오전 1:08:52: reading: key = 5, value = 73
2020-10-14(수) 오전 1:08:52: reading: key = 6, value = 65
2020-10-14(수) 오전 1:08:52: reading: key = 7, value = 58
2020-10-14(수) 오전 1:08:52: reading: key = 8, value = 50
2020-10-14(수) 오전 1:08:52: reading: key = 9, value = 43
2020-10-14(수) 오전 1:08:52: reading: key = 10, value = 32
2020-10-14(수) 오전 1:08:52: reading: key = 11, value = 24
2020-10-14(수) 오전 1:08:52: settings changed for: programs_running_cfg_xtu!, reimporting...
2020-10-14(수) 오전 1:08:52: reading: key = 11, value = 10
2020-10-14(수) 오전 1:08:52: reading: key = 10, value = 9.5
2020-10-14(수) 오전 1:08:52: reading: key = 9, value = 9
2020-10-14(수) 오전 1:08:52: reading: key = 8, value = 8.5
2020-10-14(수) 오전 1:08:52: reading: key = 7, value = 8
2020-10-14(수) 오전 1:08:52: reading: key = 6, value = 7.5
2020-10-14(수) 오전 1:08:52: reading: key = 5, value = 7
2020-10-14(수) 오전 1:08:52: reading: key = 4, value = 6.5
2020-10-14(수) 오전 1:08:52: reading: key = 3, value = 6
2020-10-14(수) 오전 1:08:52: reading: key = 2, value = 5.5
2020-10-14(수) 오전 1:08:52: reading: key = 1, value = 5
2020-10-14(수) 오전 1:08:52: reading: key = 0, value = 4.5
2020-10-14(수) 오전 1:08:52: settings changed for: programs_running_cfg_nice!, reimporting...
2020-10-14(수) 오전 1:08:52: reading: key = 0, value = Normal
2020-10-14(수) 오전 1:08:52: reading: key = 1, value = Normal
2020-10-14(수) 오전 1:08:52: reading: key = 2, value = Normal
2020-10-14(수) 오전 1:08:52: reading: key = 3, value = Normal
2020-10-14(수) 오전 1:08:52: reading: key = 4, value = Normal
2020-10-14(수) 오전 1:08:52: reading: key = 5, value = Normal
2020-10-14(수) 오전 1:08:52: reading: key = 6, value = Normal
2020-10-14(수) 오전 1:08:52: reading: key = 7, value = Normal
2020-10-14(수) 오전 1:08:52: settings changed for: loop_delay!, reimporting...
2020-10-14(수) 오전 1:08:52: reading: key = loop_delay, value = 5
2020-10-14(수) 오전 1:08:52: settings changed for: boost_cycle_delay!, reimporting...
2020-10-14(수) 오전 1:08:52: reading: key = boost_cycle_delay, value = 12
2020-10-14(수) 오전 1:08:52: settings changed for: newlist_cycle_delay!, reimporting...
2020-10-14(수) 오전 1:08:52: reading: key = newlist_cycle_delay, value = 30
2020-10-14(수) 오전 1:08:52: settings changed for: ac_offset!, reimporting...
2020-10-14(수) 오전 1:08:52: reading: key = ac_offset, value = 1
2020-10-14(수) 오전 1:08:52: settings changed for: processor_guid_tweak!, reimporting...
2020-10-14(수) 오전 1:08:52: reading: key = 06cadf0e-64ed-448a-8927-ce7bf90eb35d, value = 30
2020-10-14(수) 오전 1:08:52: reading: key = 0cc5b647-c1df-4637-891a-dec35c318583, value = 100
2020-10-14(수) 오전 1:08:52: reading: key = 12a0ab44-fe28-4fa9-b3bd-4b64f44960a6, value = 15
2020-10-14(수) 오전 1:08:52: reading: key = 40fbefc7-2e9d-4d25-a185-0cfd8574bac6, value = 1
2020-10-14(수) 오전 1:08:52: reading: key = 45bcc044-d885-43e2-8605-ee0ec6e96b59, value = 100
